school_id,school_name,students,enrollment,division
1110,Grand Rapids - Hope Academy of West Michigan HS,101,101,D
8631,Wyoming - Tri-unity Christian HS,101,101,D
7616,Engadine HS,100,100,D
4745,Waterford - Our Lady Of The Lakes HS,100,100,D
7938,Onekama HS,99,99,D
6262,Akron-Fairgrove HS,97,97,D
2773,Covert HS,97,97,D
8341,Allen Park - Inter-City Baptist HS,97,97,D
5231,North Adams-Jerome HS,97,97,D
4571,Ontonagon Area HS,97,97,D
2699,Byron Center - Zion Christian HS,97,97,D
7707,Bear Lake HS,96,96,D
1718,Carney-Nadeau HS,96,96,D
1076,Chesterfield - Austin Catholic HS,95,95,D
7731,Fairview HS,95,95,D
8060,Hale HS,92,92,D
6320,Wolverine HS,91,91,D
7426,Carsonville-Port Sanilac,90,90,D
7698,Caseville HS,88,88,D
1188,Bay City Academy,87,87,D
4035,Battle Creek - St Philip Catholic Central HS,87,87,D
5363,Eben Junction - Superior Central HS,87,87,D
